[2017-10-09 14:24:22,150][main]com.ods.manager.QueueManager[73][INFO ]: 初始化队列HandlerQuene完成
[2017-10-09 14:24:22,151][main]com.ods.manager.QueueManager[73][INFO ]: 初始化队列UnpackQueue完成
[2017-10-09 14:24:22,151][main]com.ods.manager.QueueManager[73][INFO ]: 初始化队列PackQueue完成
[2017-10-09 14:24:22,152][main]com.ods.manager.QueueManager[73][INFO ]: 初始化队列TxnQueue完成
[2017-10-09 14:24:22,152][main]com.ods.manager.QueueManager[73][INFO ]: 初始化队列ManagerQuene完成
[2017-10-09 14:24:22,152][main]com.ods.manager.QueueManager[73][INFO ]: 初始化队列FailQueue完成
[2017-10-09 14:24:22,153][main]com.ods.manager.QueueManager[73][INFO ]: 初始化队列SuccessQueue完成
[2017-10-09 14:24:30,279][pool-1-thread-1]com.ods.manager.QueueManager[91][INFO ]: 201710091424300000000001加入到队列UnpackQueue完成,操作结果:true
[2017-10-09 14:24:32,169][UnPackService-0]com.ods.manager.QueueManager[107][INFO ]: 获取 UnpackQueue队列元素完成,获取元素的系统流水号:201710091424300000000001
[2017-10-09 14:24:32,349][UnPackService-0]com.ods.manager.QueueManager[91][INFO ]: 201710091424300000000001加入到队列TxnQueue完成,操作结果:true
[2017-10-09 14:24:37,183][TxnService-0]com.ods.manager.QueueManager[107][INFO ]: 获取 TxnQueue队列元素完成,获取元素的系统流水号:201710091424300000000001
[2017-10-09 14:24:38,047][TxnService-0]com.ods.manager.QueueManager[91][INFO ]: 201710091424300000000001加入到队列FailQueue完成,操作结果:true
[2017-10-09 14:24:38,049][TxnService-0]com.ods.manager.QueueManager[91][INFO ]: 201710091424300000000001加入到队列FailQueue完成,操作结果:true
[2017-10-09 14:24:38,049][TxnService-0]com.ods.manager.QueueManager[91][INFO ]: 201710091424300000000001加入到队列PackQueue完成,操作结果:true
[2017-10-09 14:24:38,210][EsbPackService-1]com.ods.manager.QueueManager[107][INFO ]: 获取 PackQueue队列元素完成,获取元素的系统流水号:201710091424300000000001
[2017-10-09 14:24:42,238][SendFailMsgService-0]com.ods.manager.QueueManager[107][INFO ]: 获取 FailQueue队列元素完成,获取元素的系统流水号:201710091424300000000001
[2017-10-09 14:24:42,238][SendFailMsgService-0]com.ods.manager.QueueManager[107][INFO ]: 获取 FailQueue队列元素完成,获取元素的系统流水号:201710091424300000000001
[2017-10-09 14:35:51,117][main]com.ods.manager.QueueManager[73][INFO ]: 初始化队列HandlerQuene完成
[2017-10-09 14:35:51,118][main]com.ods.manager.QueueManager[73][INFO ]: 初始化队列UnpackQueue完成
[2017-10-09 14:35:51,118][main]com.ods.manager.QueueManager[73][INFO ]: 初始化队列PackQueue完成
[2017-10-09 14:35:51,119][main]com.ods.manager.QueueManager[73][INFO ]: 初始化队列TxnQueue完成
[2017-10-09 14:35:51,119][main]com.ods.manager.QueueManager[73][INFO ]: 初始化队列ManagerQuene完成
[2017-10-09 14:35:51,119][main]com.ods.manager.QueueManager[73][INFO ]: 初始化队列FailQueue完成
[2017-10-09 14:35:51,120][main]com.ods.manager.QueueManager[73][INFO ]: 初始化队列SuccessQueue完成
[2017-10-09 14:36:18,884][pool-1-thread-1]com.ods.manager.QueueManager[91][INFO ]: 201710091436180000000001加入到队列UnpackQueue完成,操作结果:true
[2017-10-09 14:36:21,147][UnPackService-3]com.ods.manager.QueueManager[107][INFO ]: 获取 UnpackQueue队列元素完成,获取元素的系统流水号:201710091436180000000001
[2017-10-09 14:36:21,329][UnPackService-3]com.ods.manager.QueueManager[91][INFO ]: 201710091436180000000001加入到队列TxnQueue完成,操作结果:true
[2017-10-09 14:36:26,148][TxnService-1]com.ods.manager.QueueManager[107][INFO ]: 获取 TxnQueue队列元素完成,获取元素的系统流水号:201710091436180000000001
[2017-10-09 14:36:26,934][TxnService-1]com.ods.manager.QueueManager[91][INFO ]: 201710091436180000000001加入到队列PackQueue完成,操作结果:true
[2017-10-09 14:36:27,184][EsbPackService-0]com.ods.manager.QueueManager[107][INFO ]: 获取 PackQueue队列元素完成,获取元素的系统流水号:201710091436180000000001
[2017-10-09 14:36:27,219][EsbPackService-0]com.ods.manager.QueueManager[91][INFO ]: 201710091436180000000001加入到队列SuccessQueue完成,操作结果:true
[2017-10-09 14:36:31,167][SendSuccMsgService-4]com.ods.manager.QueueManager[107][INFO ]: 获取 SuccessQueue队列元素完成,获取元素的系统流水号:201710091436180000000001
[2017-10-09 14:36:44,843][pool-1-thread-1]com.ods.manager.QueueManager[91][INFO ]: 201710091436440000000002加入到队列UnpackQueue完成,操作结果:true
[2017-10-09 14:36:46,182][UnPackService-1]com.ods.manager.QueueManager[107][INFO ]: 获取 UnpackQueue队列元素完成,获取元素的系统流水号:201710091436440000000002
[2017-10-09 14:36:46,193][UnPackService-1]com.ods.manager.QueueManager[91][INFO ]: 201710091436440000000002加入到队列TxnQueue完成,操作结果:true
[2017-10-09 14:36:46,193][TxnService-3]com.ods.manager.QueueManager[107][INFO ]: 获取 TxnQueue队列元素完成,获取元素的系统流水号:201710091436440000000002
[2017-10-09 14:36:46,209][TxnService-3]com.ods.manager.QueueManager[91][INFO ]: 201710091436440000000002加入到队列PackQueue完成,操作结果:true
[2017-10-09 14:36:46,213][EsbPackService-3]com.ods.manager.QueueManager[107][INFO ]: 获取 PackQueue队列元素完成,获取元素的系统流水号:201710091436440000000002
[2017-10-09 14:36:46,221][EsbPackService-3]com.ods.manager.QueueManager[91][INFO ]: 201710091436440000000002加入到队列SuccessQueue完成,操作结果:true
[2017-10-09 14:36:46,412][pool-1-thread-2]com.ods.manager.QueueManager[91][INFO ]: 201710091436460000000003加入到队列UnpackQueue完成,操作结果:true
[2017-10-09 14:36:47,098][pool-1-thread-3]com.ods.manager.QueueManager[91][INFO ]: 201710091436470000000004加入到队列UnpackQueue完成,操作结果:true
[2017-10-09 14:36:47,223][pool-1-thread-4]com.ods.manager.QueueManager[91][INFO ]: 201710091436470000000005加入到队列UnpackQueue完成,操作结果:true
